Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-10,100,360,4,64,7,7,--,true,1565954
2,Grid-10,100,360,4,64,8,8,--,true,2003818
3,Grid-10,100,360,4,64,9,9,--,false,3001080
4,Grid-10,100,360,4,64,10,10,--,false,3001098
5,Grid-10,100,360,4,64,11,11,--,false,3001077
6,Grid-10,100,360,4,64,12,12,--,false,3001080
7,Grid-10,100,360,4,64,13,13,--,false,3001040
8,Grid-10,100,360,4,64,14,14,--,false,3001074
9,Grid-10,100,360,4,64,15,15,--,false,3001054
10,Grid-10,100,360,4,64,16,16,--,false,3001054
11,Grid-10,100,360,4,64,17,17,--,false,3001038
12,Grid-10,100,360,4,64,18,18,--,false,3001072
13,Grid-10,100,360,4,64,19,19,19,true,2181
14,Grid-10,100,360,4,64,20,20,20,true,1452
15,Grid-10,100,360,4,64,21,21,21,true,385
16,Grid-10,100,360,4,64,22,22,22,true,505
17,Grid-10,100,360,4,64,23,23,23,true,255
18,Grid-10,100,360,4,64,24,24,24,true,294
19,Grid-10,100,360,4,64,25,25,25,true,133
20,Grid-10,100,360,4,64,26,26,26,true,194
21,Grid-10,100,360,4,64,27,27,27,true,134
22,Grid-10,100,360,4,64,28,28,28,true,124
23,Grid-10,100,360,4,64,29,29,29,true,83
24,Grid-10,100,360,4,64,30,30,30,true,114
25,Grid-10,100,360,4,64,31,31,31,true,90
26,Grid-10,100,360,4,64,32,32,32,true,65
27,Grid-10,100,360,4,64,33,33,33,true,61
28,Grid-10,100,360,4,64,34,34,34,true,227
29,Grid-10,100,360,4,64,35,35,35,true,29
30,Grid-10,100,360,4,64,36,36,36,true,32
31,Grid-10,100,360,4,64,37,37,37,true,53
