Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-7,49,84,4,25,5,5,--,true,60385
2,Grid-7,49,84,4,25,6,6,--,true,54258
3,Grid-7,49,84,4,25,7,7,--,true,76567
4,Grid-7,49,84,4,25,8,8,--,true,137665
5,Grid-7,49,84,4,25,9,9,--,true,97787
6,Grid-7,49,84,4,25,10,10,--,true,72719
7,Grid-7,49,84,4,25,11,11,11,true,438
8,Grid-7,49,84,4,25,12,12,12,true,154
9,Grid-7,49,84,4,25,13,13,13,true,57
10,Grid-7,49,84,4,25,14,14,14,true,45
11,Grid-7,49,84,4,25,15,15,15,true,41
12,Grid-7,49,84,4,25,16,16,16,true,23
13,Grid-7,49,84,4,25,17,17,17,true,34
