Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-8,64,112,4,36,5,5,--,true,237463
2,Grid-8,64,112,4,36,6,6,--,true,323448
3,Grid-8,64,112,4,36,7,7,--,true,165797
4,Grid-8,64,112,4,36,8,8,--,true,182691
5,Grid-8,64,112,4,36,9,9,--,true,1396654
6,Grid-8,64,112,4,36,10,10,--,false,3000028
7,Grid-8,64,112,4,36,11,11,--,false,3000041
8,Grid-8,64,112,4,36,12,12,--,false,3000025
9,Grid-8,64,112,4,36,13,13,13,true,18094
10,Grid-8,64,112,4,36,14,14,14,true,1101
11,Grid-8,64,112,4,36,15,15,15,true,245
12,Grid-8,64,112,4,36,16,16,16,true,88
13,Grid-8,64,112,4,36,17,17,17,true,266
14,Grid-8,64,112,4,36,18,18,18,true,83
15,Grid-8,64,112,4,36,19,19,19,true,59
16,Grid-8,64,112,4,36,20,20,20,true,60
17,Grid-8,64,112,4,36,21,21,21,true,54
18,Grid-8,64,112,4,36,22,22,22,true,25
19,Grid-8,64,112,4,36,23,23,23,true,23
