Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-11,121,220,4,81,8,8,--,false,3000212
2,Grid-11,121,220,4,81,9,9,--,false,3000111
3,Grid-11,121,220,4,81,10,10,--,false,3000057
4,Grid-11,121,220,4,81,11,11,--,false,3000065
5,Grid-11,121,220,4,81,12,12,--,false,3000052
6,Grid-11,121,220,4,81,13,13,--,false,3000055
7,Grid-11,121,220,4,81,14,14,--,false,3000086
8,Grid-11,121,220,4,81,15,15,--,false,3000041
9,Grid-11,121,220,4,81,16,16,--,false,3000041
10,Grid-11,121,220,4,81,17,17,--,false,3000038
11,Grid-11,121,220,4,81,18,18,--,false,3000046
12,Grid-11,121,220,4,81,19,19,--,false,3000044
13,Grid-11,121,220,4,81,20,20,--,false,3000056
14,Grid-11,121,220,4,81,21,21,21,true,3909
15,Grid-11,121,220,4,81,22,22,--,false,3000215
16,Grid-11,121,220,4,81,23,23,23,true,5812
17,Grid-11,121,220,4,81,24,24,24,true,748
18,Grid-11,121,220,4,81,25,25,25,true,1120
19,Grid-11,121,220,4,81,26,26,26,true,808
20,Grid-11,121,220,4,81,27,27,27,true,707
21,Grid-11,121,220,4,81,28,28,28,true,627
22,Grid-11,121,220,4,81,29,29,29,true,215
23,Grid-11,121,220,4,81,30,30,30,true,167
24,Grid-11,121,220,4,81,31,31,31,true,245
25,Grid-11,121,220,4,81,32,32,32,true,165
26,Grid-11,121,220,4,81,33,33,33,true,234
27,Grid-11,121,220,4,81,34,34,34,true,194
28,Grid-11,121,220,4,81,35,35,35,true,173
29,Grid-11,121,220,4,81,36,36,36,true,184
30,Grid-11,121,220,4,81,37,37,37,true,164
31,Grid-11,121,220,4,81,38,38,38,true,174
32,Grid-11,121,220,4,81,39,39,39,true,144
33,Grid-11,121,220,4,81,40,40,40,true,134
34,Grid-11,121,220,4,81,41,41,41,true,80
35,Grid-11,121,220,4,81,42,42,42,true,50
36,Grid-11,121,220,4,81,43,43,43,true,94
37,Grid-11,121,220,4,81,44,44,44,true,63
38,Grid-11,121,220,4,81,45,45,45,true,50
