Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,Grid-13,169,312,4,121,9,9,10,--,true,72
2,Grid-13,169,312,4,121,10,10,11,--,true,483
3,Grid-13,169,312,4,121,11,11,12,--,true,7652
4,Grid-13,169,312,4,121,12,12,13,--,true,43020
5,Grid-13,169,312,4,121,13,13,14,--,true,889147
6,Grid-13,169,312,4,121,14,14,14,--,false,3010069
7,Grid-13,169,312,4,121,15,15,14,--,false,3010078
8,Grid-13,169,312,4,121,16,16,12,--,false,3010077
9,Grid-13,169,312,4,121,17,17,13,--,false,3010075
10,Grid-13,169,312,4,121,18,18,14,--,false,3010070
11,Grid-13,169,312,4,121,19,19,15,--,false,3010067
12,Grid-13,169,312,4,121,20,20,11,--,false,3010065
13,Grid-13,169,312,4,121,21,21,12,--,false,3010065
14,Grid-13,169,312,4,121,22,22,14,--,false,3010098
15,Grid-13,169,312,4,121,23,23,15,--,false,3010071
16,Grid-13,169,312,4,121,24,24,10,--,false,3010067
17,Grid-13,169,312,4,121,25,25,10,--,false,3010069
18,Grid-13,169,312,4,121,26,26,10,--,false,3010079
19,Grid-13,169,312,4,121,27,27,10,--,false,3010098
20,Grid-13,169,312,4,121,28,28,9,--,false,3010162
21,Grid-13,169,312,4,121,29,29,9,--,false,3010072
22,Grid-13,169,312,4,121,30,30,10,--,false,3010073
23,Grid-13,169,312,4,121,31,31,9,--,false,3010083
24,Grid-13,169,312,4,121,32,32,10,--,false,3010080
25,Grid-13,169,312,4,121,33,33,11,--,false,3010064
26,Grid-13,169,312,4,121,34,34,10,--,false,3010072
27,Grid-13,169,312,4,121,35,35,11,--,false,3010078
28,Grid-13,169,312,4,121,36,36,10,--,false,3010090
29,Grid-13,169,312,4,121,37,37,11,--,false,3010093
30,Grid-13,169,312,4,121,38,38,10,--,false,3010086
31,Grid-13,169,312,4,121,39,39,10,39,false,3010066
32,Grid-13,169,312,4,121,40,40,10,39,false,3010065
33,Grid-13,169,312,4,121,41,41,10,39,false,3010086
34,Grid-13,169,312,4,121,42,42,10,39,false,3010076
35,Grid-13,169,312,4,121,43,43,10,38,false,3010078
36,Grid-13,169,312,4,121,44,44,9,35,false,3010078
37,Grid-13,169,312,4,121,45,45,9,35,false,3010080
38,Grid-13,169,312,4,121,46,46,8,34,false,3010087
39,Grid-13,169,312,4,121,47,47,9,33,false,3010085
40,Grid-13,169,312,4,121,48,48,6,48,false,3010081
41,Grid-13,169,312,4,121,49,49,8,48,false,3010079
42,Grid-13,169,312,4,121,50,50,8,47,false,3010122
