Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,Grid-10,100,360,4,64,7,7,8,--,true,6
2,Grid-10,100,360,4,64,8,8,9,--,true,96
3,Grid-10,100,360,4,64,9,9,10,--,true,471
4,Grid-10,100,360,4,64,10,10,11,--,true,8500
5,Grid-10,100,360,4,64,11,11,12,--,true,46228
6,Grid-10,100,360,4,64,12,12,13,--,true,287927
7,Grid-10,100,360,4,64,13,13,13,--,false,3010082
8,Grid-10,100,360,4,64,14,14,13,--,false,3010101
9,Grid-10,100,360,4,64,15,15,13,--,false,3010116
10,Grid-10,100,360,4,64,16,16,13,--,false,3010084
11,Grid-10,100,360,4,64,17,17,13,--,false,3010086
12,Grid-10,100,360,4,64,18,18,13,--,false,3010075
13,Grid-10,100,360,4,64,19,19,13,--,false,3010083
14,Grid-10,100,360,4,64,20,20,13,--,false,3010078
15,Grid-10,100,360,4,64,21,21,12,--,false,3010079
16,Grid-10,100,360,4,64,22,22,12,--,false,3010075
17,Grid-10,100,360,4,64,23,23,12,--,false,3010074
18,Grid-10,100,360,4,64,24,24,12,24,false,3010071
19,Grid-10,100,360,4,64,25,25,13,23,false,3010079
20,Grid-10,100,360,4,64,26,26,12,22,false,3010077
21,Grid-10,100,360,4,64,27,27,12,21,false,3010067
22,Grid-10,100,360,4,64,28,28,12,21,false,3010067
23,Grid-10,100,360,4,64,29,29,11,21,false,3010057
24,Grid-10,100,360,4,64,30,30,11,22,false,3010066
25,Grid-10,100,360,4,64,31,31,11,22,false,3010073
26,Grid-10,100,360,4,64,32,32,11,22,false,3010066
27,Grid-10,100,360,4,64,33,33,11,22,false,3010073
28,Grid-10,100,360,4,64,34,34,11,22,false,3010074
29,Grid-10,100,360,4,64,35,35,10,21,false,3010070
30,Grid-10,100,360,4,64,36,36,10,21,false,3010087
31,Grid-10,100,360,4,64,37,37,10,22,false,3010067
