Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,Grid-11,121,220,4,81,8,8,9,--,true,29
2,Grid-11,121,220,4,81,9,9,10,--,true,257
3,Grid-11,121,220,4,81,10,10,11,--,true,2797
4,Grid-11,121,220,4,81,11,11,12,--,true,17658
5,Grid-11,121,220,4,81,12,12,13,--,true,304760
6,Grid-11,121,220,4,81,13,13,14,--,true,1858419
7,Grid-11,121,220,4,81,14,14,13,--,false,3010068
8,Grid-11,121,220,4,81,15,15,13,--,false,3010095
9,Grid-11,121,220,4,81,16,16,13,--,false,3010066
10,Grid-11,121,220,4,81,17,17,13,--,false,3010065
11,Grid-11,121,220,4,81,18,18,13,--,false,3010068
12,Grid-11,121,220,4,81,19,19,13,--,false,3010104
13,Grid-11,121,220,4,81,20,20,13,--,false,3010090
14,Grid-11,121,220,4,81,21,21,12,--,false,3010085
15,Grid-11,121,220,4,81,22,22,13,--,false,3010092
16,Grid-11,121,220,4,81,23,23,13,--,false,3010083
17,Grid-11,121,220,4,81,24,24,12,--,false,3010075
18,Grid-11,121,220,4,81,25,25,12,--,false,3010080
19,Grid-11,121,220,4,81,26,26,12,--,false,3010082
20,Grid-11,121,220,4,81,27,27,11,--,false,3010075
21,Grid-11,121,220,4,81,28,28,12,28,false,3010090
22,Grid-11,121,220,4,81,29,29,11,29,false,3010093
23,Grid-11,121,220,4,81,30,30,12,30,false,3010082
24,Grid-11,121,220,4,81,31,31,12,27,false,3010072
25,Grid-11,121,220,4,81,32,32,12,26,false,3010071
26,Grid-11,121,220,4,81,33,33,12,26,false,3010085
27,Grid-11,121,220,4,81,34,34,12,32,false,3010096
28,Grid-11,121,220,4,81,35,35,13,33,false,3010079
29,Grid-11,121,220,4,81,36,36,12,32,false,3010085
30,Grid-11,121,220,4,81,37,37,11,31,false,3010073
31,Grid-11,121,220,4,81,38,38,12,34,false,3010074
32,Grid-11,121,220,4,81,39,39,11,32,false,3010073
33,Grid-11,121,220,4,81,40,40,11,38,false,3010069
34,Grid-11,121,220,4,81,41,41,10,35,false,3010070
35,Grid-11,121,220,4,81,42,42,10,34,false,3010103
36,Grid-11,121,220,4,81,43,43,10,32,false,3010075
37,Grid-11,121,220,4,81,44,44,10,31,false,3010070
38,Grid-11,121,220,4,81,45,45,10,32,false,3010073
