Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,Grid-8,64,112,4,36,5,5,6,--,true,5
2,Grid-8,64,112,4,36,6,6,7,--,true,43
3,Grid-8,64,112,4,36,7,7,8,--,true,126
4,Grid-8,64,112,4,36,8,8,9,--,true,550
5,Grid-8,64,112,4,36,9,9,10,--,true,2860
6,Grid-8,64,112,4,36,10,10,11,--,true,15514
7,Grid-8,64,112,4,36,11,11,12,--,true,93908
8,Grid-8,64,112,4,36,12,12,13,--,true,589329
9,Grid-8,64,112,4,36,13,13,13,13,true,2839945
10,Grid-8,64,112,4,36,14,14,13,14,false,3010106
11,Grid-8,64,112,4,36,15,15,13,13,true,2631068
12,Grid-8,64,112,4,36,16,16,12,13,false,3010086
13,Grid-8,64,112,4,36,17,17,12,12,true,1583739
14,Grid-8,64,112,4,36,18,18,11,11,true,672132
15,Grid-8,64,112,4,36,19,19,11,11,true,928228
16,Grid-8,64,112,4,36,20,20,11,11,true,1289172
17,Grid-8,64,112,4,36,21,21,11,11,true,1811995
18,Grid-8,64,112,4,36,22,22,10,10,false,2284134
19,Grid-8,64,112,4,36,23,23,10,10,true,883176
