Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-9,81,144,4,49,6,6,--,true,1.504s
2,Grid-9,81,144,4,49,7,7,--,true,1.544s
3,Grid-9,81,144,4,49,8,8,--,true,1.66s
4,Grid-9,81,144,4,49,9,9,--,true,1.788s
5,Grid-9,81,144,4,49,10,10,--,true,1.888s
6,Grid-9,81,144,4,49,11,11,--,true,5.236s
7,Grid-9,81,144,4,49,12,12,--,true,5.484s
8,Grid-9,81,144,4,49,13,13,--,true,9.232s
9,Grid-9,81,144,4,49,14,14,--,true,12.668s
10,Grid-9,81,144,4,49,15,15,--,true,54.168s
11,Grid-9,81,144,4,49,16,16,16,true,4.632s
12,Grid-9,81,144,4,49,17,17,17,true,3.84s
13,Grid-9,81,144,4,49,18,18,18,true,2.116s
14,Grid-9,81,144,4,49,19,19,19,true,1.724s
15,Grid-9,81,144,4,49,20,20,20,true,1.96s
16,Grid-9,81,144,4,49,21,21,21,true,1.672s
17,Grid-9,81,144,4,49,22,22,22,true,1.644s
18,Grid-9,81,144,4,49,23,23,23,true,1.628s
19,Grid-9,81,144,4,49,24,24,24,true,1.712s
20,Grid-9,81,144,4,49,25,25,25,true,1.648s
21,Grid-9,81,144,4,49,26,26,26,true,1.624s
22,Grid-9,81,144,4,49,27,27,27,true,1.62s
23,Grid-9,81,144,4,49,28,28,28,true,1.624s
24,Grid-9,81,144,4,49,29,29,29,true,1.684s
25,Grid-9,81,144,4,49,30,30,30,true,1.616s
