Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-10,100,360,4,64,7,7,--,true,3.628s
2,Grid-10,100,360,4,64,8,8,--,true,3.588s
3,Grid-10,100,360,4,64,9,9,--,true,3.744s
4,Grid-10,100,360,4,64,10,10,--,true,4.216s
5,Grid-10,100,360,4,64,11,11,--,true,4.828s
6,Grid-10,100,360,4,64,12,12,--,true,5.496s
7,Grid-10,100,360,4,64,13,13,--,true,9.592s
8,Grid-10,100,360,4,64,14,14,--,true,18.684s
9,Grid-10,100,360,4,64,15,15,--,true,27.068s
10,Grid-10,100,360,4,64,16,16,--,true,75.344s
11,Grid-10,100,360,4,64,17,17,--,true,148.924s
12,Grid-10,100,360,4,64,18,18,18,true,70.624s
13,Grid-10,100,360,4,64,19,19,19,true,25.116s
14,Grid-10,100,360,4,64,20,20,20,true,8.876s
15,Grid-10,100,360,4,64,21,21,21,true,7.288s
16,Grid-10,100,360,4,64,22,22,22,true,4.66s
17,Grid-10,100,360,4,64,23,23,23,true,3.996s
18,Grid-10,100,360,4,64,24,24,24,true,4.636s
19,Grid-10,100,360,4,64,25,25,24,true,4.264s
20,Grid-10,100,360,4,64,26,26,26,true,3.816s
21,Grid-10,100,360,4,64,27,27,27,true,3.852s
22,Grid-10,100,360,4,64,28,28,28,true,3.832s
23,Grid-10,100,360,4,64,29,29,29,true,3.864s
24,Grid-10,100,360,4,64,30,30,30,true,3.824s
25,Grid-10,100,360,4,64,31,31,31,true,3.876s
26,Grid-10,100,360,4,64,32,32,32,true,3.872s
27,Grid-10,100,360,4,64,33,33,33,true,3.848s
28,Grid-10,100,360,4,64,34,34,34,true,3.864s
29,Grid-10,100,360,4,64,35,35,35,true,3.908s
30,Grid-10,100,360,4,64,36,36,36,true,3.848s
31,Grid-10,100,360,4,64,37,37,37,true,3.936s
