Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-12,144,264,4,100,8,8,--,true,19.288s
2,Grid-12,144,264,4,100,9,9,--,true,19.992s
3,Grid-12,144,264,4,100,10,10,--,true,20.492s
4,Grid-12,144,264,4,100,11,11,--,true,20.364s
5,Grid-12,144,264,4,100,12,12,--,true,27.148s
6,Grid-12,144,264,4,100,13,13,--,true,22.108s
7,Grid-12,144,264,4,100,14,14,--,true,56.376s
8,Grid-12,144,264,4,100,15,15,--,true,86.68s
9,Grid-12,144,264,4,100,16,16,--,true,55.832s
10,Grid-12,144,264,4,100,17,17,--,true,564.944s
11,Grid-12,144,264,4,100,18,18,--,true,371.736s
12,Grid-12,144,264,4,100,19,19,--,true,793.06s
13,Grid-12,144,264,4,100,20,20,--,true,1820.99s
14,Grid-12,144,264,4,100,21,21,--,true,1428.02s
15,Grid-12,144,264,4,100,22,22,--,false,2999.77s
16,Grid-12,144,264,4,100,23,23,--,false,3002.76s
17,Grid-12,144,264,4,100,24,24,24,true,328.464s
18,Grid-12,144,264,4,100,25,25,25,true,1007.14s
19,Grid-12,144,264,4,100,26,26,26,true,581.408s
20,Grid-12,144,264,4,100,27,27,27,true,58.412s
21,Grid-12,144,264,4,100,28,28,28,true,72.16s
22,Grid-12,144,264,4,100,29,29,29,true,50.112s
23,Grid-12,144,264,4,100,30,30,26,true,40.168s
24,Grid-12,144,264,4,100,31,31,31,true,31.676s
25,Grid-12,144,264,4,100,32,32,32,true,26.328s
26,Grid-12,144,264,4,100,33,33,33,true,21.032s
27,Grid-12,144,264,4,100,34,34,34,true,25.344s
28,Grid-12,144,264,4,100,35,35,35,true,28.284s
29,Grid-12,144,264,4,100,36,36,36,true,20.74s
30,Grid-12,144,264,4,100,37,37,37,true,21.856s
31,Grid-12,144,264,4,100,38,38,38,true,20.372s
32,Grid-12,144,264,4,100,39,39,39,true,19.316s
33,Grid-12,144,264,4,100,40,40,40,true,19.136s
34,Grid-12,144,264,4,100,41,41,41,true,19.176s
35,Grid-12,144,264,4,100,42,42,42,true,19.208s
36,Grid-12,144,264,4,100,43,43,43,true,19.464s
37,Grid-12,144,264,4,100,44,44,44,true,19.272s
38,Grid-12,144,264,4,100,45,45,45,true,19.392s
39,Grid-12,144,264,4,100,46,46,45,true,19.252s
40,Grid-12,144,264,4,100,47,47,38,true,19.408s
41,Grid-12,144,264,4,100,48,48,40,true,19.204s
42,Grid-12,144,264,4,100,49,49,39,true,19.124s
43,Grid-12,144,264,4,100,50,50,40,true,19.548s
44,Grid-12,144,264,4,100,51,51,41,true,19.448s
45,Grid-12,144,264,4,100,52,52,40,true,19.192s
46,Grid-12,144,264,4,100,53,53,41,true,19.428s
47,Grid-12,144,264,4,100,54,54,42,true,19.144s
