Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-7,49,84,4,25,5,5,--,true,0.328s
2,Grid-7,49,84,4,25,6,6,--,true,0.208s
3,Grid-7,49,84,4,25,7,7,--,true,0.224s
4,Grid-7,49,84,4,25,8,8,--,true,0.276s
5,Grid-7,49,84,4,25,9,9,--,true,0.38s
6,Grid-7,49,84,4,25,10,10,--,true,1.044s
7,Grid-7,49,84,4,25,11,11,11,true,0.468s
8,Grid-7,49,84,4,25,12,12,12,true,0.304s
9,Grid-7,49,84,4,25,13,13,13,true,0.268s
10,Grid-7,49,84,4,25,14,14,14,true,0.216s
11,Grid-7,49,84,4,25,15,15,15,true,0.22s
12,Grid-7,49,84,4,25,16,16,16,true,0.22s
13,Grid-7,49,84,4,25,17,17,17,true,0.22s
