Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-8,64,112,4,36,5,5,--,true,0.636s
2,Grid-8,64,112,4,36,6,6,--,true,0.664s
3,Grid-8,64,112,4,36,7,7,--,true,0.696s
4,Grid-8,64,112,4,36,8,8,--,true,0.72s
5,Grid-8,64,112,4,36,9,9,--,true,0.808s
6,Grid-8,64,112,4,36,10,10,--,true,1.056s
7,Grid-8,64,112,4,36,11,11,--,true,2.244s
8,Grid-8,64,112,4,36,12,12,--,true,6.08s
9,Grid-8,64,112,4,36,13,13,13,true,1.404s
10,Grid-8,64,112,4,36,14,14,14,true,0.856s
11,Grid-8,64,112,4,36,15,15,15,true,0.78s
12,Grid-8,64,112,4,36,16,16,16,true,0.824s
13,Grid-8,64,112,4,36,17,17,17,true,0.848s
14,Grid-8,64,112,4,36,18,18,18,true,0.748s
15,Grid-8,64,112,4,36,19,19,19,true,0.744s
16,Grid-8,64,112,4,36,20,20,20,true,0.764s
17,Grid-8,64,112,4,36,21,21,21,true,0.72s
18,Grid-8,64,112,4,36,22,22,22,true,0.744s
19,Grid-8,64,112,4,36,23,23,23,true,0.716s
