Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-11,121,220,4,81,8,8,--,true,7.8s
2,Grid-11,121,220,4,81,9,9,--,true,8.096s
3,Grid-11,121,220,4,81,10,10,--,true,8.464s
4,Grid-11,121,220,4,81,11,11,--,true,8.908s
5,Grid-11,121,220,4,81,12,12,--,true,12.028s
6,Grid-11,121,220,4,81,13,13,--,true,15.064s
7,Grid-11,121,220,4,81,14,14,--,true,37.584s
8,Grid-11,121,220,4,81,15,15,--,true,45.328s
9,Grid-11,121,220,4,81,16,16,--,true,56.316s
10,Grid-11,121,220,4,81,17,17,--,true,95.204s
11,Grid-11,121,220,4,81,18,18,--,true,167.812s
12,Grid-11,121,220,4,81,19,19,--,true,428.788s
13,Grid-11,121,220,4,81,20,20,--,true,1539.19s
14,Grid-11,121,220,4,81,21,21,21,true,422.02s
15,Grid-11,121,220,4,81,22,22,22,true,42.364s
16,Grid-11,121,220,4,81,23,23,23,true,73.896s
17,Grid-11,121,220,4,81,24,24,24,true,22s
18,Grid-11,121,220,4,81,25,25,25,true,11.96s
19,Grid-11,121,220,4,81,26,26,26,true,15.372s
20,Grid-11,121,220,4,81,27,27,27,true,11.868s
21,Grid-11,121,220,4,81,28,28,28,true,10.196s
22,Grid-11,121,220,4,81,29,29,29,true,10.364s
23,Grid-11,121,220,4,81,30,30,30,true,8.16s
24,Grid-11,121,220,4,81,31,31,30,true,8.384s
25,Grid-11,121,220,4,81,32,32,32,true,8.148s
26,Grid-11,121,220,4,81,33,33,33,true,8.34s
27,Grid-11,121,220,4,81,34,34,34,true,8.552s
28,Grid-11,121,220,4,81,35,35,34,true,8.148s
29,Grid-11,121,220,4,81,36,36,36,true,8.18s
30,Grid-11,121,220,4,81,37,37,34,true,8.324s
31,Grid-11,121,220,4,81,38,38,38,true,8.212s
32,Grid-11,121,220,4,81,39,39,38,true,8.168s
33,Grid-11,121,220,4,81,40,40,40,true,8.16s
34,Grid-11,121,220,4,81,41,41,40,true,8.252s
35,Grid-11,121,220,4,81,42,42,42,true,8.104s
36,Grid-11,121,220,4,81,43,43,43,true,8.1s
37,Grid-11,121,220,4,81,44,44,42,true,8.292s
38,Grid-11,121,220,4,81,45,45,45,true,8.456s
