Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,Sol\_size,Finished,Duration
1,Grid-14,196,364,4,144,10,10,--,true,2.12s
2,Grid-14,196,364,4,144,11,11,--,true,3.8s
3,Grid-14,196,364,4,144,12,12,--,true,2.396s
4,Grid-14,196,364,4,144,13,13,--,true,8.848s
5,Grid-14,196,364,4,144,14,14,--,true,12.868s
6,Grid-14,196,364,4,144,15,15,--,true,7.552s
7,Grid-14,196,364,4,144,16,16,--,true,14.032s
8,Grid-14,196,364,4,144,17,17,--,true,46.696s
9,Grid-14,196,364,4,144,18,18,--,true,44.212s
10,Grid-14,196,364,4,144,19,19,--,true,185.448s
11,Grid-14,196,364,4,144,20,20,--,true,1232.37s
12,Grid-14,196,364,4,144,21,21,--,false,3000.54s
13,Grid-14,196,364,4,144,22,22,--,false,3003.23s
14,Grid-14,196,364,4,144,23,23,--,false,2999.94s
15,Grid-14,196,364,4,144,24,24,--,false,3001.9s
16,Grid-14,196,364,4,144,25,25,--,false,3000.32s
17,Grid-14,196,364,4,144,26,26,--,false,2999.61s
18,Grid-14,196,364,4,144,27,27,--,false,2999.79s
19,Grid-14,196,364,4,144,28,28,--,false,2999.36s
20,Grid-14,196,364,4,144,29,29,--,false,2999.59s
21,Grid-14,196,364,4,144,30,30,--,false,3001.7s
22,Grid-14,196,364,4,144,31,31,--,false,3000.84s
23,Grid-14,196,364,4,144,32,32,--,false,3002.93s
24,Grid-14,196,364,4,144,33,33,--,false,3000.33s
25,Grid-14,196,364,4,144,34,34,--,false,3000.86s
26,Grid-14,196,364,4,144,35,35,35,true,841.156s
27,Grid-14,196,364,4,144,36,36,36,true,225.496s
28,Grid-14,196,364,4,144,37,37,37,true,578.928s
29,Grid-14,196,364,4,144,38,38,38,true,267.748s
30,Grid-14,196,364,4,144,39,39,39,true,158.988s
31,Grid-14,196,364,4,144,40,40,40,true,48.8s
32,Grid-14,196,364,4,144,41,41,41,true,112.92s
33,Grid-14,196,364,4,144,42,42,42,true,5.756s
34,Grid-14,196,364,4,144,43,43,41,true,26.24s
35,Grid-14,196,364,4,144,44,44,43,true,71.736s
36,Grid-14,196,364,4,144,45,45,45,true,30.584s
37,Grid-14,196,364,4,144,46,46,45,true,14.956s
38,Grid-14,196,364,4,144,47,47,47,true,3.368s
39,Grid-14,196,364,4,144,48,48,47,true,3.016s
40,Grid-14,196,364,4,144,49,49,49,true,8.484s
41,Grid-14,196,364,4,144,50,50,50,true,3.436s
42,Grid-14,196,364,4,144,51,51,51,true,4.156s
43,Grid-14,196,364,4,144,52,52,51,true,5.648s
44,Grid-14,196,364,4,144,53,53,53,true,3.32s
45,Grid-14,196,364,4,144,54,54,46,true,3.06s
46,Grid-14,196,364,4,144,55,55,49,true,3.228s
47,Grid-14,196,364,4,144,56,56,48,true,3.28s
48,Grid-14,196,364,4,144,57,57,46,true,3.264s
49,Grid-14,196,364,4,144,58,58,40,true,3.356s
50,Grid-14,196,364,4,144,59,59,44,true,3.244s
51,Grid-14,196,364,4,144,60,60,47,true,3.204s
52,Grid-14,196,364,4,144,61,61,60,true,3.68s
53,Grid-14,196,364,4,144,62,62,54,true,3.416s
54,Grid-14,196,364,4,144,63,63,57,true,3.388s
55,Grid-14,196,364,4,144,64,64,46,true,3.884s
56,Grid-14,196,364,4,144,65,65,36,true,3.916s
57,Grid-14,196,364,4,144,66,66,55,true,3.356s
58,Grid-14,196,364,4,144,67,67,47,true,3.436s
59,Grid-14,196,364,4,144,68,68,47,true,3.844s
60,Grid-14,196,364,4,144,69,69,37,true,3.888s
61,Grid-14,196,364,4,144,70,70,58,true,3.868s
62,Grid-14,196,364,4,144,71,71,35,true,3.868s
63,Grid-14,196,364,4,144,72,72,71,true,3.696s
64,Grid-14,196,364,4,144,73,73,47,true,3.548s
