Row,Name,Size,Edges,MAX,MAX_COUNT,C,Simple,Similar,Covered,Both
1,Grid-10,100,360,4,64,7,63,49,63,9
2,Grid-10,100,360,4,64,8,495,521,218,97
3,Grid-10,100,360,4,64,9,763,773,525,445
4,Grid-10,100,360,4,64,10,10706,10692,6939,6903
5,Grid-10,100,360,4,64,11,51312,52525,34643,34856
6,Grid-10,100,360,4,64,12,315056,312510,212288,209625
7,Grid-10,100,360,4,64,13,4030150,4032670,2783167,2776466
