R,c,FVD\_TIME,S\_TIME,LP\_TIME
1,7,-1,18099,-1
2,8,-1,16102,-1
3,9,-1,18914,-1
4,10,-1,24688,-1
5,11,-1,32873,-1
6,12,-1,55593,-1
7,13,-1,48364,-1
8,14,-1,134185,-1
9,15,-1,325669,-1
10,16,-1,535704,-1
11,17,-1,884704,-1
12,18,-1,1641142,-1
13,19,-1,6099313,-1
14,20,-1,6030427,-1
15,21,-1,6012753,-1
16,22,-1,6023578,-1
17,23,-1,6011683,-1
18,24,-1,6017776,-1
19,25,-1,6018386,-1
20,26,-1,6031215,-1
21,27,-1,6010914,-1
