Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,Grid-8,64,112,4,36,5,5,6,--,true,0
2,Grid-8,64,112,4,36,6,6,7,--,true,27
3,Grid-8,64,112,4,36,7,7,8,--,true,1542
4,Grid-8,64,112,4,36,8,8,9,--,true,27378
5,Grid-8,64,112,4,36,9,9,9,--,false,3010057
6,Grid-8,64,112,4,36,10,10,9,--,false,3010056
7,Grid-8,64,112,4,36,11,11,9,--,false,3010075
8,Grid-8,64,112,4,36,12,12,9,--,false,3010061
9,Grid-8,64,112,4,36,13,13,8,--,false,3010057
10,Grid-8,64,112,4,36,14,14,8,--,false,3010061
11,Grid-8,64,112,4,36,15,15,8,--,false,3010057
12,Grid-8,64,112,4,36,16,16,7,--,false,3010078
13,Grid-8,64,112,4,36,17,17,7,--,false,3010055
14,Grid-8,64,112,4,36,18,18,7,--,false,3010070
15,Grid-8,64,112,4,36,19,19,7,--,false,3010062
16,Grid-8,64,112,4,36,20,20,7,--,false,3010067
17,Grid-8,64,112,4,36,21,21,7,21,false,3010060
18,Grid-8,64,112,4,36,22,22,7,20,false,3010066
19,Grid-8,64,112,4,36,23,23,7,18,false,3010070
