Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-10,100,360,4,64,7,14,32,3000,3000052
2,Grid-10,100,360,4,64,8,14,30,3000,3000076
3,Grid-10,100,360,4,64,9,16,28,3000,3000062
4,Grid-10,100,360,4,64,10,15,27,3000,3000062
5,Grid-10,100,360,4,64,11,16,26,3000,3000050
6,Grid-10,100,360,4,64,12,17,25,3000,3000052
7,Grid-10,100,360,4,64,13,16,23,3000,3000066
8,Grid-10,100,360,4,64,14,16,22,3000,3000069
9,Grid-10,100,360,4,64,15,16,21,3000,3000058
10,Grid-10,100,360,4,64,16,15,20,3000,3000050
11,Grid-10,100,360,4,64,17,17,19,3000,3000046
12,Grid-10,100,360,4,64,18,18,18,3000,3537029
13,Grid-10,100,360,4,64,19,16,18,3000,3000047
14,Grid-10,100,360,4,64,20,18,18,3000,1922606
15,Grid-10,100,360,4,64,21,16,16,3000,1037095
16,Grid-10,100,360,4,64,22,16,16,3000,1098326
17,Grid-10,100,360,4,64,23,16,16,3000,1084446
18,Grid-10,100,360,4,64,24,16,16,3000,1474932
19,Grid-10,100,360,4,64,25,14,16,3000,3000051
20,Grid-10,100,360,4,64,26,16,16,3000,795168
21,Grid-10,100,360,4,64,27,15,15,3000,507034
22,Grid-10,100,360,4,64,28,15,15,3000,260397
23,Grid-10,100,360,4,64,29,14,14,3000,189196
24,Grid-10,100,360,4,64,30,14,14,3000,162464
25,Grid-10,100,360,4,64,31,14,14,3000,181671
26,Grid-10,100,360,4,64,32,14,14,3000,141731
27,Grid-10,100,360,4,64,33,13,13,3000,139456
28,Grid-10,100,360,4,64,34,13,13,3000,93479
29,Grid-10,100,360,4,64,35,13,13,3000,63422
30,Grid-10,100,360,4,64,36,13,13,3000,76141
31,Grid-10,100,360,4,64,37,13,13,3000,68045
