Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-15,225,840,4,169,10,4,84,3000,3000108
2,Grid-15,225,840,4,169,11,3,73,3000,3000100
3,Grid-15,225,840,4,169,12,3,72,3000,3000094
4,Grid-15,225,840,4,169,13,4,63,3000,3000082
5,Grid-15,225,840,4,169,14,4,61,3000,3000097
6,Grid-15,225,840,4,169,15,4,58,3000,3000096
7,Grid-15,225,840,4,169,16,4,58,3000,3000188
8,Grid-15,225,840,4,169,17,7,54,3000,3000074
9,Grid-15,225,840,4,169,18,8,54,3000,3000084
10,Grid-15,225,840,4,169,19,8,52,3000,3000088
11,Grid-15,225,840,4,169,20,4,52,3000,3000082
12,Grid-15,225,840,4,169,21,8,49,3000,3000062
13,Grid-15,225,840,4,169,22,6,50,3000,3000104
14,Grid-15,225,840,4,169,23,6,50,3000,3000063
15,Grid-15,225,840,4,169,24,7,45,3000,3000092
16,Grid-15,225,840,4,169,25,6,45,3000,3000108
17,Grid-15,225,840,4,169,26,8,46,3000,3000085
18,Grid-15,225,840,4,169,27,7,40,3000,3000077
19,Grid-15,225,840,4,169,28,6,42,3000,3000044
20,Grid-15,225,840,4,169,29,9,39,3000,3000041
21,Grid-15,225,840,4,169,30,7,40,3000,3000048
22,Grid-15,225,840,4,169,31,8,39,3000,3000053
23,Grid-15,225,840,4,169,32,9,37,3000,3000050
24,Grid-15,225,840,4,169,33,7,36,3000,3000048
25,Grid-15,225,840,4,169,34,9,36,3000,3000033
26,Grid-15,225,840,4,169,35,9,35,3000,3000034
27,Grid-15,225,840,4,169,36,10,35,3000,3000037
28,Grid-15,225,840,4,169,37,10,35,3000,3000046
29,Grid-15,225,840,4,169,38,11,34,3000,3000034
30,Grid-15,225,840,4,169,39,9,32,3000,3000039
31,Grid-15,225,840,4,169,40,11,30,3000,3000041
32,Grid-15,225,840,4,169,41,11,29,3000,3000051
33,Grid-15,225,840,4,169,42,9,30,3000,3000041
34,Grid-15,225,840,4,169,43,10,32,3000,3000080
35,Grid-15,225,840,4,169,44,10,29,3000,3000046
36,Grid-15,225,840,4,169,45,10,28,3000,3000035
37,Grid-15,225,840,4,169,46,11,28,3000,3000051
38,Grid-15,225,840,4,169,47,11,28,3000,3000035
39,Grid-15,225,840,4,169,48,11,28,3000,3000036
40,Grid-15,225,840,4,169,49,12,28,3000,3000050
41,Grid-15,225,840,4,169,50,12,26,3000,3000043
42,Grid-15,225,840,4,169,51,12,26,3000,3000038
43,Grid-15,225,840,4,169,52,13,27,3000,3000040
44,Grid-15,225,840,4,169,53,11,25,3000,3000038
45,Grid-15,225,840,4,169,54,12,25,3000,3000033
46,Grid-15,225,840,4,169,55,12,25,3000,3000038
47,Grid-15,225,840,4,169,56,11,26,3000,3000030
48,Grid-15,225,840,4,169,57,13,25,3000,3000031
49,Grid-15,225,840,4,169,58,13,25,3000,3000033
50,Grid-15,225,840,4,169,59,12,25,3000,3000034
51,Grid-15,225,840,4,169,60,12,24,3000,3000039
52,Grid-15,225,840,4,169,61,12,24,3000,3000054
53,Grid-15,225,840,4,169,62,12,25,3000,3000061
54,Grid-15,225,840,4,169,63,12,24,3000,3000040
55,Grid-15,225,840,4,169,64,12,24,3000,3000039
56,Grid-15,225,840,4,169,65,13,24,3000,3000035
57,Grid-15,225,840,4,169,66,13,23,3000,3000038
58,Grid-15,225,840,4,169,67,12,23,3000,3000034
59,Grid-15,225,840,4,169,68,13,21,3000,3000034
60,Grid-15,225,840,4,169,69,12,21,3000,3000054
61,Grid-15,225,840,4,169,70,12,21,3000,3000043
62,Grid-15,225,840,4,169,71,13,21,3000,3000034
63,Grid-15,225,840,4,169,72,14,21,3000,3000044
64,Grid-15,225,840,4,169,73,13,21,3000,3000039
65,Grid-15,225,840,4,169,74,12,21,3000,3000038
66,Grid-15,225,840,4,169,75,14,21,3000,3000041
67,Grid-15,225,840,4,169,76,13,21,3000,3000054
68,Grid-15,225,840,4,169,77,14,21,3000,3000052
69,Grid-15,225,840,4,169,78,14,20,3000,3000053
70,Grid-15,225,840,4,169,79,13,20,3000,3000055
71,Grid-15,225,840,4,169,80,14,20,3000,3000075
72,Grid-15,225,840,4,169,81,14,20,3000,3000044
73,Grid-15,225,840,4,169,82,13,20,3000,3000049
74,Grid-15,225,840,4,169,83,14,20,3000,3000042
