Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-11,121,220,4,81,8,9,38,3000,3000050
2,Grid-11,121,220,4,81,9,12,35,3000,3000055
3,Grid-11,121,220,4,81,10,12,34,3000,3000058
4,Grid-11,121,220,4,81,11,13,33,3000,3000047
5,Grid-11,121,220,4,81,12,13,31,3000,3000094
6,Grid-11,121,220,4,81,13,14,30,3000,3000230
7,Grid-11,121,220,4,81,14,15,28,3000,3000053
8,Grid-11,121,220,4,81,15,15,28,3000,3000049
9,Grid-11,121,220,4,81,16,15,26,3000,3000043
10,Grid-11,121,220,4,81,17,14,25,3000,3000052
11,Grid-11,121,220,4,81,18,16,25,3000,3000043
12,Grid-11,121,220,4,81,19,16,24,3000,3000049
13,Grid-11,121,220,4,81,20,14,22,3000,3000041
14,Grid-11,121,220,4,81,21,15,21,3000,3000059
15,Grid-11,121,220,4,81,22,15,20,3000,3000055
16,Grid-11,121,220,4,81,23,15,20,3000,3000059
17,Grid-11,121,220,4,81,24,15,20,3000,3000057
18,Grid-11,121,220,4,81,25,16,20,3000,3000051
19,Grid-11,121,220,4,81,26,16,18,3000,3000055
20,Grid-11,121,220,4,81,27,16,19,3000,3000055
21,Grid-11,121,220,4,81,28,15,18,3000,3000057
22,Grid-11,121,220,4,81,29,16,18,3000,3000072
23,Grid-11,121,220,4,81,30,16,18,3000,3000093
24,Grid-11,121,220,4,81,31,15,18,3000,3000056
25,Grid-11,121,220,4,81,32,17,17,3000,2637541
26,Grid-11,121,220,4,81,33,15,17,3000,3000087
27,Grid-11,121,220,4,81,34,16,16,3000,2717233
28,Grid-11,121,220,4,81,35,16,16,3000,860428
29,Grid-11,121,220,4,81,36,15,15,3000,336433
30,Grid-11,121,220,4,81,37,15,15,3000,659169
31,Grid-11,121,220,4,81,38,15,15,3000,587864
32,Grid-11,121,220,4,81,39,15,15,3000,306090
33,Grid-11,121,220,4,81,40,15,15,3000,398606
34,Grid-11,121,220,4,81,41,15,15,3000,390429
35,Grid-11,121,220,4,81,42,15,15,3000,377750
36,Grid-11,121,220,4,81,43,14,14,3000,282219
37,Grid-11,121,220,4,81,44,14,14,3000,246807
38,Grid-11,121,220,4,81,45,14,14,3000,184076
