Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-7,49,84,4,25,5,17,17,3000,397506
2,Grid-7,49,84,4,25,6,15,15,3000,121736
3,Grid-7,49,84,4,25,7,14,14,3000,43711
4,Grid-7,49,84,4,25,8,12,12,3000,20049
5,Grid-7,49,84,4,25,9,12,12,3000,25065
6,Grid-7,49,84,4,25,10,11,11,3000,11579
7,Grid-7,49,84,4,25,11,11,11,3000,11028
8,Grid-7,49,84,4,25,12,11,11,3000,11443
9,Grid-7,49,84,4,25,13,10,10,3000,8627
10,Grid-7,49,84,4,25,14,10,10,3000,7830
11,Grid-7,49,84,4,25,15,9,9,3000,4668
12,Grid-7,49,84,4,25,16,9,9,3000,4695
13,Grid-7,49,84,4,25,17,9,9,3000,4033
