Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-14,196,364,4,144,10,2,65,3000,3000151
2,Grid-14,196,364,4,144,11,4,59,3000,3000096
3,Grid-14,196,364,4,144,12,7,56,3000,3000071
4,Grid-14,196,364,4,144,13,7,52,3000,3000070
5,Grid-14,196,364,4,144,14,7,48,3000,3000078
6,Grid-14,196,364,4,144,15,8,50,3000,3000059
7,Grid-14,196,364,4,144,16,7,49,3000,3000055
8,Grid-14,196,364,4,144,17,7,46,3000,3000074
9,Grid-14,196,364,4,144,18,7,44,3000,3000270
10,Grid-14,196,364,4,144,19,9,44,3000,3000054
11,Grid-14,196,364,4,144,20,7,43,3000,3000123
12,Grid-14,196,364,4,144,21,8,46,3000,3000047
13,Grid-14,196,364,4,144,22,9,40,3000,3000044
14,Grid-14,196,364,4,144,23,9,40,3000,3000049
15,Grid-14,196,364,4,144,24,9,39,3000,3000044
16,Grid-14,196,364,4,144,25,9,37,3000,3000055
17,Grid-14,196,364,4,144,26,9,37,3000,3000050
18,Grid-14,196,364,4,144,27,9,34,3000,3000060
19,Grid-14,196,364,4,144,28,11,33,3000,3000046
20,Grid-14,196,364,4,144,29,9,33,3000,3000038
21,Grid-14,196,364,4,144,30,11,33,3000,3000045
22,Grid-14,196,364,4,144,31,10,34,3000,3000038
23,Grid-14,196,364,4,144,32,9,31,3000,3000040
24,Grid-14,196,364,4,144,33,11,31,3000,3000058
25,Grid-14,196,364,4,144,34,10,28,3000,3000028
26,Grid-14,196,364,4,144,35,11,31,3000,3000044
27,Grid-14,196,364,4,144,36,11,26,3000,3000043
28,Grid-14,196,364,4,144,37,10,26,3000,3000035
29,Grid-14,196,364,4,144,38,11,28,3000,3000087
30,Grid-14,196,364,4,144,39,11,27,3000,3000039
31,Grid-14,196,364,4,144,40,12,26,3000,3000038
32,Grid-14,196,364,4,144,41,13,26,3000,3000044
33,Grid-14,196,364,4,144,42,12,26,3000,3000046
34,Grid-14,196,364,4,144,43,12,25,3000,3000040
35,Grid-14,196,364,4,144,44,13,24,3000,3000038
36,Grid-14,196,364,4,144,45,13,24,3000,3000039
37,Grid-14,196,364,4,144,46,13,23,3000,3000032
38,Grid-14,196,364,4,144,47,13,23,3000,3000031
39,Grid-14,196,364,4,144,48,13,23,3000,3000053
40,Grid-14,196,364,4,144,49,12,23,3000,3000033
41,Grid-14,196,364,4,144,50,12,23,3000,3001334
42,Grid-14,196,364,4,144,51,13,23,3000,3000050
43,Grid-14,196,364,4,144,52,13,23,3000,3000041
44,Grid-14,196,364,4,144,53,13,23,3000,3000042
45,Grid-14,196,364,4,144,54,13,22,3000,3000059
46,Grid-14,196,364,4,144,55,13,21,3000,3000056
47,Grid-14,196,364,4,144,56,13,22,3000,3000043
48,Grid-14,196,364,4,144,57,14,21,3000,3000089
49,Grid-14,196,364,4,144,58,13,21,3000,3000054
50,Grid-14,196,364,4,144,59,13,20,3000,3000053
51,Grid-14,196,364,4,144,60,14,20,3000,3000050
52,Grid-14,196,364,4,144,61,14,20,3000,3000054
53,Grid-14,196,364,4,144,62,13,20,3000,3000421
54,Grid-14,196,364,4,144,63,14,19,3000,3000051
55,Grid-14,196,364,4,144,64,13,19,3000,3000039
56,Grid-14,196,364,4,144,65,14,19,3000,3000035
57,Grid-14,196,364,4,144,66,14,19,3000,3000058
58,Grid-14,196,364,4,144,67,15,19,3000,3000116
59,Grid-14,196,364,4,144,68,14,19,3000,3000075
60,Grid-14,196,364,4,144,69,14,19,3000,3000208
61,Grid-14,196,364,4,144,70,14,19,3000,3000050
62,Grid-14,196,364,4,144,71,14,19,3000,3000047
63,Grid-14,196,364,4,144,72,14,19,3000,3000056
64,Grid-14,196,364,4,144,73,14,19,3000,3000060
