Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-13,169,312,4,121,9,5,53,3000,3000070
2,Grid-13,169,312,4,121,10,8,51,3000,3000064
3,Grid-13,169,312,4,121,11,8,49,3000,3000070
4,Grid-13,169,312,4,121,12,6,47,3000,3000052
5,Grid-13,169,312,4,121,13,8,44,3000,3000050
6,Grid-13,169,312,4,121,14,10,42,3000,3000051
7,Grid-13,169,312,4,121,15,8,41,3000,3000062
8,Grid-13,169,312,4,121,16,8,41,3000,3000051
9,Grid-13,169,312,4,121,17,8,39,3000,3000041
10,Grid-13,169,312,4,121,18,9,38,3000,3000099
11,Grid-13,169,312,4,121,19,10,38,3000,3000053
12,Grid-13,169,312,4,121,20,11,35,3000,3000067
13,Grid-13,169,312,4,121,21,11,34,3000,3000066
14,Grid-13,169,312,4,121,22,10,33,3000,3000052
15,Grid-13,169,312,4,121,23,12,33,3000,3000228
16,Grid-13,169,312,4,121,24,12,31,3000,3000041
17,Grid-13,169,312,4,121,25,12,29,3000,3000043
18,Grid-13,169,312,4,121,26,11,32,3000,3000076
19,Grid-13,169,312,4,121,27,13,28,3000,3000054
20,Grid-13,169,312,4,121,28,13,28,3000,3000043
21,Grid-13,169,312,4,121,29,11,27,3000,3000040
22,Grid-13,169,312,4,121,30,12,25,3000,3000040
23,Grid-13,169,312,4,121,31,14,24,3000,3000032
24,Grid-13,169,312,4,121,32,11,28,3000,3000038
25,Grid-13,169,312,4,121,33,11,25,3000,3000211
26,Grid-13,169,312,4,121,34,14,24,3000,3000043
27,Grid-13,169,312,4,121,35,14,24,3000,3000039
28,Grid-13,169,312,4,121,36,13,24,3000,3000044
29,Grid-13,169,312,4,121,37,13,23,3000,3000037
30,Grid-13,169,312,4,121,38,14,22,3000,3000033
31,Grid-13,169,312,4,121,39,13,22,3000,3000050
32,Grid-13,169,312,4,121,40,13,22,3000,3000040
33,Grid-13,169,312,4,121,41,13,22,3000,3000036
34,Grid-13,169,312,4,121,42,13,21,3000,3000033
35,Grid-13,169,312,4,121,43,14,22,3000,3000056
36,Grid-13,169,312,4,121,44,14,22,3000,3000268
37,Grid-13,169,312,4,121,45,14,21,3000,3000044
38,Grid-13,169,312,4,121,46,14,21,3000,3000049
39,Grid-13,169,312,4,121,47,14,20,3000,3000048
40,Grid-13,169,312,4,121,48,14,20,3000,3000048
41,Grid-13,169,312,4,121,49,14,20,3000,3000070
42,Grid-13,169,312,4,121,50,16,19,3000,3000050
43,Grid-13,169,312,4,121,51,15,18,3000,3000055
44,Grid-13,169,312,4,121,52,14,18,3000,3000046
45,Grid-13,169,312,4,121,53,18,18,3000,2822455
46,Grid-13,169,312,4,121,54,14,18,3000,3000047
47,Grid-13,169,312,4,121,55,16,18,3000,3000055
48,Grid-13,169,312,4,121,56,15,18,3000,3000153
49,Grid-13,169,312,4,121,57,15,18,3000,3000138
50,Grid-13,169,312,4,121,58,16,18,3000,3000058
51,Grid-13,169,312,4,121,59,17,17,3000,2767080
52,Grid-13,169,312,4,121,60,17,17,3000,2072255
53,Grid-13,169,312,4,121,61,17,17,3000,2401748
54,Grid-13,169,312,4,121,62,17,17,3000,2067718
55,Grid-13,169,312,4,121,63,15,17,3000,3000197
