Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-9,81,144,4,49,6,17,27,3000,3000070
2,Grid-9,81,144,4,49,7,18,25,3000,3000067
3,Grid-9,81,144,4,49,8,16,24,3000,3000061
4,Grid-9,81,144,4,49,9,18,22,3000,3000077
5,Grid-9,81,144,4,49,10,17,21,3000,3000100
6,Grid-9,81,144,4,49,11,17,20,3000,3000075
7,Grid-9,81,144,4,49,12,16,19,3000,3000093
8,Grid-9,81,144,4,49,13,16,16,3000,229736
9,Grid-9,81,144,4,49,14,16,16,3000,448094
10,Grid-9,81,144,4,49,15,16,16,3000,458832
11,Grid-9,81,144,4,49,16,16,16,3000,334966
12,Grid-9,81,144,4,49,17,15,15,3000,617507
13,Grid-9,81,144,4,49,18,15,15,3000,543008
14,Grid-9,81,144,4,49,19,14,14,3000,163432
15,Grid-9,81,144,4,49,20,14,14,3000,123031
16,Grid-9,81,144,4,49,21,14,14,3000,104422
17,Grid-9,81,144,4,49,22,13,13,3000,433367
18,Grid-9,81,144,4,49,23,13,13,3000,55641
19,Grid-9,81,144,4,49,24,12,12,3000,41211
20,Grid-9,81,144,4,49,25,12,12,3000,27950
21,Grid-9,81,144,4,49,26,12,12,3000,45555
22,Grid-9,81,144,4,49,27,12,12,3000,36626
23,Grid-9,81,144,4,49,28,12,12,3000,29069
24,Grid-9,81,144,4,49,29,12,12,3000,23748
25,Grid-9,81,144,4,49,30,11,11,3000,30527
