Row,Name,Size,Edges,MAX,MAX_COUNT,C,LB,Sol\_size,Timeout,Duration
1,Grid-20,400,1520,4,324,53,4,78,3000,3000073
2,Grid-20,400,1520,4,324,54,4,69,3000,3000063
3,Grid-20,400,1520,4,324,55,4,64,3000,3000093
4,Grid-20,400,1520,4,324,56,4,61,3000,3000071
5,Grid-20,400,1520,4,324,57,3,61,3000,3000076
6,Grid-20,400,1520,4,324,58,4,81,3000,3000061
7,Grid-20,400,1520,4,324,59,4,56,3000,3000064
8,Grid-20,400,1520,4,324,60,4,65,3000,3000067
9,Grid-20,400,1520,4,324,61,4,66,3000,3000068
10,Grid-20,400,1520,4,324,62,5,55,3000,3000060
11,Grid-20,400,1520,4,324,63,3,58,3000,3000073
12,Grid-20,400,1520,4,324,64,3,57,3000,3000069
13,Grid-20,400,1520,4,324,65,7,55,3000,3000064
14,Grid-20,400,1520,4,324,66,3,60,3000,3000071
15,Grid-20,400,1520,4,324,67,4,53,3000,3000074
16,Grid-20,400,1520,4,324,68,7,56,3000,3000078
17,Grid-20,400,1520,4,324,69,5,52,3000,3000060
18,Grid-20,400,1520,4,324,70,4,55,3000,3000080
19,Grid-20,400,1520,4,324,71,3,51,3000,3000085
20,Grid-20,400,1520,4,324,72,6,60,3000,3000082
21,Grid-20,400,1520,4,324,73,6,56,3000,3000240
22,Grid-20,400,1520,4,324,74,7,60,3000,3000062
23,Grid-20,400,1520,4,324,75,6,53,3000,3000062
24,Grid-20,400,1520,4,324,76,6,49,3000,3000057
25,Grid-20,400,1520,4,324,77,4,45,3000,3000052
26,Grid-20,400,1520,4,324,78,6,46,3000,3000057
27,Grid-20,400,1520,4,324,79,6,44,3000,3000060
28,Grid-20,400,1520,4,324,80,7,43,3000,3000078
29,Grid-20,400,1520,4,324,81,7,47,3000,3000065
30,Grid-20,400,1520,4,324,82,7,48,3000,3000059
31,Grid-20,400,1520,4,324,83,7,49,3000,3000051
32,Grid-20,400,1520,4,324,84,7,44,3000,3000073
33,Grid-20,400,1520,4,324,85,7,47,3000,3000057
34,Grid-20,400,1520,4,324,86,6,48,3000,3000061
35,Grid-20,400,1520,4,324,87,7,49,3000,3000052
36,Grid-20,400,1520,4,324,88,7,43,3000,3000063
37,Grid-20,400,1520,4,324,89,7,38,3000,3000087
38,Grid-20,400,1520,4,324,90,7,44,3000,3000087
39,Grid-20,400,1520,4,324,91,7,36,3000,3000059
40,Grid-20,400,1520,4,324,92,7,36,3000,3000048
41,Grid-20,400,1520,4,324,93,6,36,3000,3000051
42,Grid-20,400,1520,4,324,94,7,35,3000,3000062
43,Grid-20,400,1520,4,324,95,6,34,3000,3000053
44,Grid-20,400,1520,4,324,96,7,35,3000,3000076
45,Grid-20,400,1520,4,324,97,6,37,3000,3000048
46,Grid-20,400,1520,4,324,98,7,40,3000,3000062
47,Grid-20,400,1520,4,324,99,6,41,3000,3000067
48,Grid-20,400,1520,4,324,100,4,35,3000,3000053
49,Grid-20,400,1520,4,324,101,8,34,3000,3000076
50,Grid-20,400,1520,4,324,102,6,36,3000,3000047
51,Grid-20,400,1520,4,324,103,6,34,3000,3000060
52,Grid-20,400,1520,4,324,104,6,34,3000,3000041
53,Grid-20,400,1520,4,324,105,6,39,3000,3000061
